team,season,SMOY
"Brooklyn Nets",2016,0
"Philadelphia 76ers",2016,0
"Golden State Warriors",2015,0
"Houston Rockets",2015,0
"Los Angeles Clippers",2015,0
"Portland Trail Blazers",2015,0
"Memphis Grizzlies",2015,0
"San Antonio Spurs",2015,0
"Dallas Mavericks",2015,0
"New Orleans Pelicans",2015,0
"Oklahoma City Thunder",2015,0
"Phoenix Suns",2015,0
"Utah Jazz",2015,0
"Denver Nuggets",2015,0
"Sacramento Kings",2015,0
"Los Angeles Lakers",2015,0
"Minnesota Timberwolves",2015,0
"Atlanta Hawks",2015,0
"Cleveland Cavaliers",2015,0
"Chicago Bulls",2015,0
"Toronto Raptors",2015,1
"Washington Wizards",2015,0
"Milwaukee Bucks",2015,0
"Boston Celtics",2015,0
"Brooklyn Nets",2015,0
"Indiana Pacers",2015,0
"Miami Heat",2015,0
"Charlotte Hornets",2015,0
"Detroit Pistons",2015,0
"Orlando Magic",2015,0
"Philadelphia 76ers",2015,0
"New York Knicks",2015,0
"San Antonio Spurs",2014,0
"Oklahoma City Thunder",2014,0
"Los Angeles Clippers",2014,0
"Houston Rockets",2014,0
"Portland Trail Blazers",2014,0
"Golden State Warriors",2014,0
"Memphis Grizzlies",2014,0
"Dallas Mavericks",2014,0
"Phoenix Suns",2014,0
"Minnesota Timberwolves",2014,0
"Denver Nuggets",2014,0
"New Orleans Pelicans",2014,0
"Sacramento Kings",2014,0
"Los Angeles Lakers",2014,0
"Utah Jazz",2014,0
"Indiana Pacers",2014,0
"Miami Heat",2014,0
"Toronto Raptors",2014,0
"Chicago Bulls",2014,0
"Washington Wizards",2014,0
"Brooklyn Nets",2014,0
"Charlotte Bobcats",2014,0
"Atlanta Hawks",2014,0
"New York Knicks",2014,0
"Cleveland Cavaliers",2014,0
"Detroit Pistons",2014,0
"Boston Celtics",2014,0
"Orlando Magic",2014,0
"Philadelphia 76ers",2014,0
"Milwaukee Bucks",2014,0
"Oklahoma City Thunder",2013,0
"San Antonio Spurs",2013,0
"Denver Nuggets",2013,0
"Los Angeles Clippers",2013,0
"Memphis Grizzlies",2013,0
"Golden State Warriors",2013,0
"Los Angeles Lakers",2013,0
"Houston Rockets",2013,0
"Utah Jazz",2013,0
"Dallas Mavericks",2013,0
"Portland Trail Blazers",2013,0
"Minnesota Timberwolves",2013,0
"Sacramento Kings",2013,0
"New Orleans Hornets",2013,0
"Phoenix Suns",2013,0
"Miami Heat",2013,0
"New York Knicks",2013,1
"Indiana Pacers",2013,0
"Brooklyn Nets",2013,0
"Chicago Bulls",2013,0
"Atlanta Hawks",2013,0
"Boston Celtics",2013,0
"Milwaukee Bucks",2013,0
"Philadelphia 76ers",2013,0
"Toronto Raptors",2013,0
"Detroit Pistons",2013,0
"Washington Wizards",2013,0
"Cleveland Cavaliers",2013,0
"Charlotte Bobcats",2013,0
"Orlando Magic",2013,0
"San Antonio Spurs",2012,0
"Oklahoma City Thunder",2012,1
"Los Angeles Lakers",2012,0
"Memphis Grizzlies",2012,0
"Los Angeles Clippers",2012,0
"Denver Nuggets",2012,0
"Dallas Mavericks",2012,0
"Utah Jazz",2012,0
"Houston Rockets",2012,0
"Phoenix Suns",2012,0
"Portland Trail Blazers",2012,0
"Minnesota Timberwolves",2012,0
"Golden State Warriors",2012,0
"Sacramento Kings",2012,0
"New Orleans Hornets",2012,0
"Chicago Bulls",2012,0
"Miami Heat",2012,0
"Indiana Pacers",2012,0
"Boston Celtics",2012,0
"Atlanta Hawks",2012,0
"Orlando Magic",2012,0
"New York Knicks",2012,0
"Philadelphia 76ers",2012,0
"Milwaukee Bucks",2012,0
"Detroit Pistons",2012,0
"Toronto Raptors",2012,0
"New Jersey Nets",2012,0
"Cleveland Cavaliers",2012,0
"Washington Wizards",2012,0
"Charlotte Bobcats",2012,0
"San Antonio Spurs",2011,0
"Los Angeles Lakers",2011,1
"Dallas Mavericks",2011,0
"Oklahoma City Thunder",2011,0
"Denver Nuggets",2011,0
"Portland Trail Blazers",2011,0
"New Orleans Hornets",2011,0
"Memphis Grizzlies",2011,0
"Houston Rockets",2011,0
"Phoenix Suns",2011,0
"Utah Jazz",2011,0
"Golden State Warriors",2011,0
"Los Angeles Clippers",2011,0
"Sacramento Kings",2011,0
"Minnesota Timberwolves",2011,0
"Chicago Bulls",2011,0
"Miami Heat",2011,0
"Boston Celtics",2011,0
"Orlando Magic",2011,0
"Atlanta Hawks",2011,0
"New York Knicks",2011,0
"Philadelphia 76ers",2011,0
"Indiana Pacers",2011,0
"Milwaukee Bucks",2011,0
"Charlotte Bobcats",2011,0
"Detroit Pistons",2011,0
"New Jersey Nets",2011,0
"Washington Wizards",2011,0
"Toronto Raptors",2011,0
"Cleveland Cavaliers",2011,0
"Los Angeles Lakers",2010,0
"Dallas Mavericks",2010,0
"Phoenix Suns",2010,0
"Denver Nuggets",2010,0
"Utah Jazz",2010,0
"Portland Trail Blazers",2010,0
"San Antonio Spurs",2010,0
"Oklahoma City Thunder",2010,0
"Houston Rockets",2010,0
"Memphis Grizzlies",2010,0
"New Orleans Hornets",2010,0
"Los Angeles Clippers",2010,0
"Golden State Warriors",2010,0
"Sacramento Kings",2010,0
"Minnesota Timberwolves",2010,0
"Cleveland Cavaliers",2010,0
"Orlando Magic",2010,0
"Atlanta Hawks",2010,1
"Boston Celtics",2010,0
"Miami Heat",2010,0
"Milwaukee Bucks",2010,0
"Charlotte Bobcats",2010,0
"Chicago Bulls",2010,0
"Toronto Raptors",2010,0
"Indiana Pacers",2010,0
"New York Knicks",2010,0
"Detroit Pistons",2010,0
"Philadelphia 76ers",2010,0
"Washington Wizards",2010,0
"New Jersey Nets",2010,0
"Los Angeles Lakers",2009,0
"Denver Nuggets",2009,0
"San Antonio Spurs",2009,0
"Portland Trail Blazers",2009,0
"Houston Rockets",2009,0
"Dallas Mavericks",2009,1
"New Orleans Hornets",2009,0
"Utah Jazz",2009,0
"Phoenix Suns",2009,0
"Golden State Warriors",2009,0
"Minnesota Timberwolves",2009,0
"Memphis Grizzlies",2009,0
"Oklahoma City Thunder",2009,0
"Los Angeles Clippers",2009,0
"Sacramento Kings",2009,0
"Cleveland Cavaliers",2009,0
"Boston Celtics",2009,0
"Orlando Magic",2009,0
"Atlanta Hawks",2009,0
"Miami Heat",2009,0
"Philadelphia 76ers",2009,0
"Chicago Bulls",2009,0
"Detroit Pistons",2009,0
"Indiana Pacers",2009,0
"Charlotte Bobcats",2009,0
"New Jersey Nets",2009,0
"Milwaukee Bucks",2009,0
"Toronto Raptors",2009,0
"New York Knicks",2009,0
"Washington Wizards",2009,0
"Los Angeles Lakers",2008,0
"New Orleans Hornets",2008,0
"San Antonio Spurs",2008,1
"Utah Jazz",2008,0
"Houston Rockets",2008,0
"Phoenix Suns",2008,0
"Dallas Mavericks",2008,0
"Denver Nuggets",2008,0
"Golden State Warriors",2008,0
"Portland Trail Blazers",2008,0
"Sacramento Kings",2008,0
"Los Angeles Clippers",2008,0
"Minnesota Timberwolves",2008,0
"Memphis Grizzlies",2008,0
"Seattle Supersonics",2008,0
"Boston Celtics",2008,0
"Detroit Pistons",2008,0
"Orlando Magic",2008,0
"Cleveland Cavaliers",2008,0
"Washington Wizards",2008,0
"Toronto Raptors",2008,0
"Philadelphia 76ers",2008,0
"Atlanta Hawks",2008,0
"Indiana Pacers",2008,0
"New Jersey Nets",2008,0
"Chicago Bulls",2008,0
"Charlotte Bobcats",2008,0
"Milwaukee Bucks",2008,0
"New York Knicks",2008,0
"Miami Heat",2008,0
"Dallas Mavericks",2007,0
"Phoenix Suns",2007,1
"San Antonio Spurs",2007,0
"Utah Jazz",2007,0
"Houston Rockets",2007,0
"Denver Nuggets",2007,0
"Los Angeles Lakers",2007,0
"Golden State Warriors",2007,0
"Los Angeles Clippers",2007,0
"New Orleans/Oklahoma City Hornets",2007,0
"Sacramento Kings",2007,0
"Portland Trail Blazers",2007,0
"Minnesota Timberwolves",2007,0
"Seattle Supersonics",2007,0
"Memphis Grizzlies",2007,0
"Detroit Pistons",2007,0
"Cleveland Cavaliers",2007,0
"Toronto Raptors",2007,0
"Miami Heat",2007,0
"Chicago Bulls",2007,0
"New Jersey Nets",2007,0
"Washington Wizards",2007,0
"Orlando Magic",2007,0
"Indiana Pacers",2007,0
"Philadelphia 76ers",2007,0
"Charlotte Bobcats",2007,0
"New York Knicks",2007,0
"Atlanta Hawks",2007,0
"Milwaukee Bucks",2007,0
"Boston Celtics",2007,0
"San Antonio Spurs",2006,0
"Phoenix Suns",2006,0
"Denver Nuggets",2006,0
"Dallas Mavericks",2006,0
"Memphis Grizzlies",2006,1
"Los Angeles Clippers",2006,0
"Los Angeles Lakers",2006,0
"Sacramento Kings",2006,0
"Utah Jazz",2006,0
"New Orleans/Oklahoma City Hornets",2006,0
"Seattle Supersonics",2006,0
"Houston Rockets",2006,0
"Golden State Warriors",2006,0
"Minnesota Timberwolves",2006,0
"Portland Trail Blazers",2006,0
"Detroit Pistons",2006,0
"Miami Heat",2006,0
"New Jersey Nets",2006,0
"Cleveland Cavaliers",2006,0
"Washington Wizards",2006,0
"Indiana Pacers",2006,0
"Chicago Bulls",2006,0
"Milwaukee Bucks",2006,0
"Philadelphia 76ers",2006,0
"Orlando Magic",2006,0
"Boston Celtics",2006,0
"Toronto Raptors",2006,0
"Charlotte Bobcats",2006,0
"Atlanta Hawks",2006,0
"New York Knicks",2006,0
"Phoenix Suns",2005,0
"San Antonio Spurs",2005,0
"Seattle Supersonics",2005,0
"Dallas Mavericks",2005,0
"Houston Rockets",2005,0
"Sacramento Kings",2005,0
"Denver Nuggets",2005,0
"Memphis Grizzlies",2005,0
"Minnesota Timberwolves",2005,0
"Los Angeles Clippers",2005,0
"Los Angeles Lakers",2005,0
"Golden State Warriors",2005,0
"Portland Trail Blazers",2005,0
"Utah Jazz",2005,0
"New Orleans Hornets",2005,0
"Miami Heat",2005,0
"Detroit Pistons",2005,0
"Boston Celtics",2005,0
"Chicago Bulls",2005,1
"Washington Wizards",2005,0
"Indiana Pacers",2005,0
"Philadelphia 76ers",2005,0
"New Jersey Nets",2005,0
"Cleveland Cavaliers",2005,0
"Orlando Magic",2005,0
"Toronto Raptors",2005,0
"New York Knicks",2005,0
"Milwaukee Bucks",2005,0
"Charlotte Bobcats",2005,0
"Atlanta Hawks",2005,0
"Minnesota Timberwolves",2004,0
"Los Angeles Lakers",2004,0
"San Antonio Spurs",2004,0
"Sacramento Kings",2004,0
"Dallas Mavericks",2004,1
"Memphis Grizzlies",2004,0
"Houston Rockets",2004,0
"Denver Nuggets",2004,0
"Utah Jazz",2004,0
"Portland Trail Blazers",2004,0
"Golden State Warriors",2004,0
"Seattle Supersonics",2004,0
"Phoenix Suns",2004,0
"Los Angeles Clippers",2004,0
"Indiana Pacers",2004,0
"New Jersey Nets",2004,0
"Detroit Pistons",2004,0
"Miami Heat",2004,0
"New Orleans Hornets",2004,0
"Milwaukee Bucks",2004,0
"New York Knicks",2004,0
"Boston Celtics",2004,0
"Cleveland Cavaliers",2004,0
"Toronto Raptors",2004,0
"Philadelphia 76ers",2004,0
"Atlanta Hawks",2004,0
"Washington Wizards",2004,0
"Chicago Bulls",2004,0
"Orlando Magic",2004,0
"San Antonio Spurs",2003,0
"Sacramento Kings",2003,1
"Dallas Mavericks",2003,0
"Minnesota Timberwolves",2003,0
"Los Angeles Lakers",2003,0
"Portland Trail Blazers",2003,0
"Utah Jazz",2003,0
"Phoenix Suns",2003,0
"Houston Rockets",2003,0
"Seattle Supersonics",2003,0
"Golden State Warriors",2003,0
"Memphis Grizzlies",2003,0
"Los Angeles Clippers",2003,0
"Denver Nuggets",2003,0
"Detroit Pistons",2003,0
"New Jersey Nets",2003,0
"Indiana Pacers",2003,0
"Philadelphia 76ers",2003,0
"New Orleans Hornets",2003,0
"Boston Celtics",2003,0
"Milwaukee Bucks",2003,0
"Orlando Magic",2003,0
"Washington Wizards",2003,0
"New York Knicks",2003,0
"Atlanta Hawks",2003,0
"Chicago Bulls",2003,0
"Miami Heat",2003,0
"Toronto Raptors",2003,0
"Cleveland Cavaliers",2003,0
"Sacramento Kings",2002,0
"San Antonio Spurs",2002,0
"Los Angeles Lakers",2002,0
"Dallas Mavericks",2002,0
"Minnesota Timberwolves",2002,0
"Portland Trail Blazers",2002,0
"Seattle Supersonics",2002,0
"Utah Jazz",2002,0
"Los Angeles Clippers",2002,0
"Phoenix Suns",2002,0
"Houston Rockets",2002,0
"Denver Nuggets",2002,0
"Memphis Grizzlies",2002,0
"Golden State Warriors",2002,0
"New Jersey Nets",2002,0
"Detroit Pistons",2002,1
"Boston Celtics",2002,0
"Charlotte Hornets",2002,0
"Orlando Magic",2002,0
"Philadelphia 76ers",2002,0
"Toronto Raptors",2002,0
"Indiana Pacers",2002,0
"Milwaukee Bucks",2002,0
"Washington Wizards",2002,0
"Miami Heat",2002,0
"Atlanta Hawks",2002,0
"New York Knicks",2002,0
"Cleveland Cavaliers",2002,0
"Chicago Bulls",2002,0
"San Antonio Spurs",2001,0
"Los Angeles Lakers",2001,0
"Sacramento Kings",2001,0
"Utah Jazz",2001,0
"Dallas Mavericks",2001,0
"Phoenix Suns",2001,0
"Portland Trail Blazers",2001,0
"Minnesota Timberwolves",2001,0
"Houston Rockets",2001,0
"Seattle Supersonics",2001,0
"Denver Nuggets",2001,0
"Los Angeles Clippers",2001,0
"Vancouver Grizzlies",2001,0
"Golden State Warriors",2001,0
"Philadelphia 76ers",2001,1
"Milwaukee Bucks",2001,0
"Miami Heat",2001,0
"New York Knicks",2001,0
"Toronto Raptors",2001,0
"Charlotte Hornets",2001,0
"Orlando Magic",2001,0
"Indiana Pacers",2001,0
"Boston Celtics",2001,0
"Detroit Pistons",2001,0
"Cleveland Cavaliers",2001,0
"New Jersey Nets",2001,0
"Atlanta Hawks",2001,0
"Washington Wizards",2001,0
"Chicago Bulls",2001,0
"Los Angeles Lakers",2000,0
"Utah Jazz",2000,0
"Portland Trail Blazers",2000,0
"San Antonio Spurs",2000,0
"Phoenix Suns",2000,1
"Minnesota Timberwolves",2000,0
"Seattle Supersonics",2000,0
"Sacramento Kings",2000,0
"Dallas Mavericks",2000,0
"Denver Nuggets",2000,0
"Houston Rockets",2000,0
"Vancouver Grizzlies",2000,0
"Golden State Warriors",2000,0
"Los Angeles Clippers",2000,0
"Indiana Pacers",2000,0
"Miami Heat",2000,0
"New York Knicks",2000,0
"Philadelphia 76ers",2000,0
"Charlotte Hornets",2000,0
"Toronto Raptors",2000,0
"Detroit Pistons",2000,0
"Milwaukee Bucks",2000,0
"Orlando Magic",2000,0
"Boston Celtics",2000,0
"Cleveland Cavaliers",2000,0
"New Jersey Nets",2000,0
"Washington Wizards",2000,0
"Atlanta Hawks",2000,0
"Chicago Bulls",2000,0
"San Antonio Spurs",1999,0
"Utah Jazz",1999,0
"Portland Trail Blazers",1999,0
"Houston Rockets",1999,0
"Los Angeles Lakers",1999,0
"Phoenix Suns",1999,0
"Sacramento Kings",1999,0
"Minnesota Timberwolves",1999,0
"Seattle Supersonics",1999,0
"Golden State Warriors",1999,0
"Dallas Mavericks",1999,0
"Denver Nuggets",1999,0
"Los Angeles Clippers",1999,0
"Vancouver Grizzlies",1999,0
"Miami Heat",1999,0
"Indiana Pacers",1999,0
"Orlando Magic",1999,1
"Atlanta Hawks",1999,0
"Detroit Pistons",1999,0
"Philadelphia 76ers",1999,0
"Milwaukee Bucks",1999,0
"New York Knicks",1999,0
"Charlotte Hornets",1999,0
"Toronto Raptors",1999,0
"Cleveland Cavaliers",1999,0
"Boston Celtics",1999,0
"Washington Wizards",1999,0
"New Jersey Nets",1999,0
"Chicago Bulls",1999,0
"Utah Jazz",1998,0
"Seattle Supersonics",1998,0
"Los Angeles Lakers",1998,0
"Phoenix Suns",1998,1
"San Antonio Spurs",1998,0
"Portland Trail Blazers",1998,0
"Minnesota Timberwolves",1998,0
"Houston Rockets",1998,0
"Sacramento Kings",1998,0
"Dallas Mavericks",1998,0
"Vancouver Grizzlies",1998,0
"Golden State Warriors",1998,0
"Los Angeles Clippers",1998,0
"Denver Nuggets",1998,0
"Chicago Bulls",1998,0
"Miami Heat",1998,0
"Indiana Pacers",1998,0
"Charlotte Hornets",1998,0
"Atlanta Hawks",1998,0
"Cleveland Cavaliers",1998,0
"New York Knicks",1998,0
"New Jersey Nets",1998,0
"Washington Wizards",1998,0
"Orlando Magic",1998,0
"Detroit Pistons",1998,0
"Boston Celtics",1998,0
"Milwaukee Bucks",1998,0
"Philadelphia 76ers",1998,0
"Toronto Raptors",1998,0
"Utah Jazz",1997,0
"Seattle Supersonics",1997,0
"Houston Rockets",1997,0
"Los Angeles Lakers",1997,0
"Portland Trail Blazers",1997,0
"Minnesota Timberwolves",1997,0
"Phoenix Suns",1997,0
"Los Angeles Clippers",1997,0
"Sacramento Kings",1997,0
"Golden State Warriors",1997,0
"Dallas Mavericks",1997,0
"Denver Nuggets",1997,0
"San Antonio Spurs",1997,0
"Vancouver Grizzlies",1997,0
"Chicago Bulls",1997,0
"Miami Heat",1997,0
"New York Knicks",1997,1
"Atlanta Hawks",1997,0
"Detroit Pistons",1997,0
"Charlotte Hornets",1997,0
"Orlando Magic",1997,0
"Washington Bullets",1997,0
"Cleveland Cavaliers",1997,0
"Indiana Pacers",1997,0
"Milwaukee Bucks",1997,0
"Toronto Raptors",1997,0
"New Jersey Nets",1997,0
"Philadelphia 76ers",1997,0
"Boston Celtics",1997,0
"Seattle Supersonics",1996,0
"San Antonio Spurs",1996,0
"Utah Jazz",1996,0
"Los Angeles Lakers",1996,0
"Houston Rockets",1996,0
"Portland Trail Blazers",1996,0
"Phoenix Suns",1996,0
"Sacramento Kings",1996,0
"Golden State Warriors",1996,0
"Denver Nuggets",1996,0
"Los Angeles Clippers",1996,0
"Minnesota Timberwolves",1996,0
"Dallas Mavericks",1996,0
"Vancouver Grizzlies",1996,0
"Chicago Bulls",1996,1
"Orlando Magic",1996,0
"Indiana Pacers",1996,0
"Cleveland Cavaliers",1996,0
"New York Knicks",1996,0
"Atlanta Hawks",1996,0
"Detroit Pistons",1996,0
"Miami Heat",1996,0
"Charlotte Hornets",1996,0
"Washington Bullets",1996,0
"Boston Celtics",1996,0
"New Jersey Nets",1996,0
"Milwaukee Bucks",1996,0
"Toronto Raptors",1996,0
"Philadelphia 76ers",1996,0
"San Antonio Spurs",1995,0
"Phoenix Suns",1995,0
"Utah Jazz",1995,0
"Seattle Supersonics",1995,0
"Los Angeles Lakers",1995,0
"Houston Rockets",1995,0
"Portland Trail Blazers",1995,0
"Denver Nuggets",1995,0
"Sacramento Kings",1995,0
"Dallas Mavericks",1995,0
"Golden State Warriors",1995,0
"Minnesota Timberwolves",1995,0
"Los Angeles Clippers",1995,0
"Orlando Magic",1995,0
"Indiana Pacers",1995,0
"New York Knicks",1995,1
"Charlotte Hornets",1995,0
"Chicago Bulls",1995,0
"Cleveland Cavaliers",1995,0
"Atlanta Hawks",1995,0
"Boston Celtics",1995,0
"Milwaukee Bucks",1995,0
"Miami Heat",1995,0
"New Jersey Nets",1995,0
"Detroit Pistons",1995,0
"Philadelphia 76ers",1995,0
"Washington Bullets",1995,0
"Seattle Supersonics",1994,0
"Houston Rockets",1994,0
"Phoenix Suns",1994,0
"San Antonio Spurs",1994,0
"Utah Jazz",1994,0
"Golden State Warriors",1994,0
"Portland Trail Blazers",1994,0
"Denver Nuggets",1994,0
"Los Angeles Lakers",1994,0
"Sacramento Kings",1994,0
"Los Angeles Clippers",1994,0
"Minnesota Timberwolves",1994,0
"Dallas Mavericks",1994,0
"Atlanta Hawks",1994,0
"New York Knicks",1994,0
"Chicago Bulls",1994,0
"Orlando Magic",1994,0
"Indiana Pacers",1994,0
"Cleveland Cavaliers",1994,0
"New Jersey Nets",1994,0
"Miami Heat",1994,0
"Charlotte Hornets",1994,1
"Boston Celtics",1994,0
"Philadelphia 76ers",1994,0
"Washington Bullets",1994,0
"Milwaukee Bucks",1994,0
"Detroit Pistons",1994,0
"Phoenix Suns",1993,0
"Houston Rockets",1993,0
"Seattle Supersonics",1993,0
"Portland Trail Blazers",1993,1
"San Antonio Spurs",1993,0
"Utah Jazz",1993,0
"Los Angeles Clippers",1993,0
"Los Angeles Lakers",1993,0
"Denver Nuggets",1993,0
"Golden State Warriors",1993,0
"Sacramento Kings",1993,0
"Minnesota Timberwolves",1993,0
"Dallas Mavericks",1993,0
"New York Knicks",1993,0
"Chicago Bulls",1993,0
"Cleveland Cavaliers",1993,0
"Boston Celtics",1993,0
"Charlotte Hornets",1993,0
"New Jersey Nets",1993,0
"Atlanta Hawks",1993,0
"Indiana Pacers",1993,0
"Orlando Magic",1993,0
"Detroit Pistons",1993,0
"Miami Heat",1993,0
"Milwaukee Bucks",1993,0
"Philadelphia 76ers",1993,0
"Washington Bullets",1993,0
"Portland Trail Blazers",1992,0
"Utah Jazz",1992,0
"Golden State Warriors",1992,0
"Phoenix Suns",1992,0
"San Antonio Spurs",1992,0
"Seattle Supersonics",1992,0
"Los Angeles Clippers",1992,0
"Los Angeles Lakers",1992,0
"Houston Rockets",1992,0
"Sacramento Kings",1992,0
"Denver Nuggets",1992,0
"Dallas Mavericks",1992,0
"Minnesota Timberwolves",1992,0
"Chicago Bulls",1992,0
"Boston Celtics",1992,0
"Cleveland Cavaliers",1992,0
"New York Knicks",1992,0
"Detroit Pistons",1992,0
"New Jersey Nets",1992,0
"Indiana Pacers",1992,1
"Miami Heat",1992,0
"Atlanta Hawks",1992,0
"Philadelphia 76ers",1992,0
"Charlotte Hornets",1992,0
"Milwaukee Bucks",1992,0
"Washington Bullets",1992,0
"Orlando Magic",1992,0
"Portland Trail Blazers",1991,0
"San Antonio Spurs",1991,0
"Los Angeles Lakers",1991,0
"Phoenix Suns",1991,0
"Utah Jazz",1991,0
"Houston Rockets",1991,0
"Golden State Warriors",1991,0
"Seattle Supersonics",1991,0
"Orlando Magic",1991,0
"Los Angeles Clippers",1991,0
"Minnesota Timberwolves",1991,0
"Dallas Mavericks",1991,0
"Sacramento Kings",1991,0
"Denver Nuggets",1991,0
"Chicago Bulls",1991,0
"Boston Celtics",1991,0
"Detroit Pistons",1991,0
"Milwaukee Bucks",1991,0
